Index,Position,Volume
1,A1,1.86
2,B1,1.75
3,C1,1.72
4,D1,1.75
5,E1,5.53
6,F1,14.68
7,G1,1.80
8,H1,4.97
9,A2,2.57
10,B2,2.50
11,C2,3.03
12,D2,7.28
13,E2,50.00
14,F2,18.10
15,G2,2.15
16,H2,3.09
17,A3,1.56
18,B3,1.53
19,C3,2.58
20,D3,3.82
21,E3,3.17
22,F3,6.89
23,G3,2.35
24,H3,2.32
25,A4,50.00
26,B4,2.45
27,C4,2.13
28,D4,3.30
29,E4,50.00
30,F4,2.12
31,G4,3.72
32,H4,2.33
33,A5,1.68
34,B5,5.54
35,C5,1.60
36,D5,29.71
37,E5,50.00
38,F5,47.40
39,G5,3.57
40,H5,3.13
41,A6,1.93
42,B6,2.70
43,C6,3.75
44,D6,1.75
45,E6,2.42
46,F6,3.06
47,G6,50.00
48,H6,4.60
49,A7,5.19
50,B7,7.68
51,C7,4.07
52,D7,3.11
53,E7,2.97
54,F7,15.55
55,G7,4.00
56,H7,6.32
57,A8,46.63
58,B8,6.46
59,C8,1.83
60,D8,2.60
61,E8,50.00
62,F8,50.00
63,G8,2.13
64,H8,2.49
65,A9,50.00
66,B9,2.29
67,C9,2.22
68,D9,50.00
69,E9,3.32
70,F9,10.14
71,G9,1.88
72,H9,21.41
73,A10,1.35
74,B10,4.15
75,C10,3.28
76,D10,2.38
77,E10,10.02
78,F10,5.24
79,G10,1.63
80,H10,50.00
81,A11,50.00
82,B11,50.00
83,C11,2.26
84,D11,3.59
85,E11,2.11
86,F11,50.00
87,G11,50.00
88,H11,50.00
89,A12,3.25
90,B12,14.25
91,C12,3.16
92,D12,2.24
93,E12,2.35
94,F12,2.25
95,G12,2.57
96,H12,2.21